onset	duration	trial_type	expected_response	given_response	response_time
 0.000	 1.358	BASE	0	0	 0.000
 1.358	 2.026	CONG_LEFT	0	0	 0.000
 3.384	 1.714	ISI	0	0	 0.000
 5.098	 2.026	REST	0	0	 0.000
 7.124	 2.047	ISI	0	0	 0.000
 9.171	 2.046	P_LEFT	0	0	 0.000
 11.217	 1.893	ISI	0	0	 0.000
 13.110	 1.712	RESPONSE_P_LEFT	1	0	 2147483.647
 14.822	 1.693	ISI	0	0	 0.000
 16.515	 2.046	REST	0	0	 0.000
 18.561	 2.381	ISI	0	0	 0.000
 20.942	 2.028	INCONG_VR_PL	0	0	 0.000
 22.970	 2.314	ISI	0	0	 0.000
 25.284	 2.047	CONG_RIGHT	0	0	 0.000
 27.331	 1.959	ISI	0	0	 0.000
 29.290	 2.047	INCONG_VL_PR	0	0	 0.000
 31.337	 1.712	ISI	0	0	 0.000
 33.049	 2.027	V_LEFT	0	0	 0.000
 35.076	 2.180	ISI	0	0	 0.000
 37.256	 1.692	RESPONSE_V_LEFT	1	0	 2147483.647
 38.948	 1.914	ISI	0	0	 0.000
 40.862	 2.047	P_RIGHT	0	0	 0.000
 42.909	 2.294	ISI	0	0	 0.000
 45.203	 2.047	V_RIGHT	0	0	 0.000
 47.250	 2.381	ISI	0	0	 0.000
 49.631	 2.046	P_LEFT	0	0	 0.000
 51.677	 1.693	ISI	0	0	 0.000
 53.370	 2.046	INCONG_VL_PR	0	0	 0.000
 55.416	 1.961	ISI	0	0	 0.000
 57.377	 1.712	RESPONSE_INCONG_VL_PR	1	0	 2147483.647
 59.089	 1.692	ISI	0	0	 0.000
 60.781	 2.047	V_RIGHT	0	0	 0.000
 62.828	 2.114	ISI	0	0	 0.000
 64.942	 2.026	CONG_RIGHT	0	0	 0.000
 66.968	 2.180	ISI	0	0	 0.000
 69.148	 1.693	RESPONSE_CONG_RIGHT	1	0	 2147483.647
 70.841	 2.046	ISI	0	0	 0.000
 72.887	 2.048	INCONG_VR_PL	0	0	 0.000
 74.935	 2.180	ISI	0	0	 0.000
 77.115	 2.027	P_RIGHT	0	0	 0.000
 79.142	 2.180	ISI	0	0	 0.000
 81.322	 2.047	CONG_LEFT	0	0	 0.000
 83.369	 2.160	ISI	0	0	 0.000
 85.529	 2.047	V_LEFT	0	0	 0.000
 87.576	 1.980	ISI	0	0	 0.000
 89.556	 1.692	RESPONSE_V_LEFT	1	0	 2147483.647
 91.248	 1.914	ISI	0	0	 0.000
 93.162	 2.026	REST	0	0	 0.000
 95.188	 2.114	ISI	0	0	 0.000
 97.302	 2.047	REST	0	0	 0.000
 99.349	 1.759	ISI	0	0	 0.000
 101.108	 2.046	CONG_RIGHT	0	0	 0.000
 103.154	 1.692	ISI	0	0	 0.000
 104.846	 2.047	REST	0	0	 0.000
 106.893	 2.381	ISI	0	0	 0.000
 109.274	 2.028	P_LEFT	0	0	 0.000
 111.302	 1.913	ISI	0	0	 0.000
 113.215	 1.692	RESPONSE_P_LEFT	1	0	 2147483.647
 114.907	 2.180	ISI	0	0	 0.000
 117.087	 2.047	REST	0	0	 0.000
 119.134	 2.113	ISI	0	0	 0.000
 121.247	 2.027	V_LEFT	0	0	 0.000
 123.274	 2.381	ISI	0	0	 0.000
 125.655	 2.048	INCONG_VL_PR	0	0	 0.000
 127.703	 1.826	ISI	0	0	 0.000
 129.529	 2.046	P_RIGHT	0	0	 0.000
 131.575	 1.846	ISI	0	0	 0.000
 133.421	 2.027	INCONG_VR_PL	0	0	 0.000
 135.448	 1.913	ISI	0	0	 0.000
 137.361	 1.692	RESPONSE_INCONG_VR_PL	1	0	 2147483.647
 139.053	 2.247	ISI	0	0	 0.000
 141.300	 2.047	V_RIGHT	0	0	 0.000
 143.347	 2.382	ISI	0	0	 0.000
 145.729	 2.026	CONG_LEFT	0	0	 0.000
 147.755	 1.980	ISI	0	0	 0.000
 149.735	 2.047	CONG_LEFT	0	0	 0.000
 151.782	 1.893	ISI	0	0	 0.000
 153.675	 1.692	RESPONSE_CONG_LEFT	1	0	 2147483.647
 155.367	 2.113	ISI	0	0	 0.000
 157.480	 2.047	REST	0	0	 0.000
 159.527	 1.759	ISI	0	0	 0.000
 161.286	 2.048	P_RIGHT	0	0	 0.000
 163.334	 1.979	ISI	0	0	 0.000
 165.313	 2.027	INCONG_VR_PL	0	0	 0.000
 167.340	 1.980	ISI	0	0	 0.000
 169.320	 2.046	REST	0	0	 0.000
 171.366	 1.759	ISI	0	0	 0.000
 173.125	 2.047	INCONG_VL_PR	0	0	 0.000
 175.172	 1.960	ISI	0	0	 0.000
 177.132	 2.046	P_LEFT	0	0	 0.000
 179.178	 1.760	ISI	0	0	 0.000
 180.938	 2.047	V_RIGHT	0	0	 0.000
 182.985	 2.114	ISI	0	0	 0.000
 185.099	 1.692	RESPONSE_V_RIGHT	1	0	 2147483.647
 186.791	 2.247	ISI	0	0	 0.000
 189.038	 2.047	V_LEFT	0	0	 0.000
 191.085	 1.692	ISI	0	0	 0.000
 192.777	 2.047	CONG_RIGHT	0	0	 0.000
 194.824	 2.093	ISI	0	0	 0.000
 196.917	 2.048	INCONG_VR_PL	0	0	 0.000
 198.965	 2.247	ISI	0	0	 0.000
 201.212	 1.692	RESPONSE_INCONG_VR_PL	1	0	 2147483.647
 202.904	 1.779	ISI	0	0	 0.000
 204.683	 2.027	CONG_LEFT	0	0	 0.000
 206.710	 1.846	ISI	0	0	 0.000
 208.556	 2.047	INCONG_VL_PR	0	0	 0.000
 210.603	 1.959	ISI	0	0	 0.000
 212.562	 2.048	REST	0	0	 0.000
 214.610	 2.113	ISI	0	0	 0.000
 216.723	 2.027	CONG_RIGHT	0	0	 0.000
 218.750	 1.712	ISI	0	0	 0.000
 220.462	 1.692	RESPONSE_CONG_RIGHT	1	0	 2147483.647
 222.154	 2.047	ISI	0	0	 0.000
 224.201	 2.027	REST	0	0	 0.000
 226.228	 2.046	ISI	0	0	 0.000
 228.274	 2.047	V_LEFT	0	0	 0.000
 230.321	 2.161	ISI	0	0	 0.000
 232.482	 2.047	V_RIGHT	0	0	 0.000
 234.529	 1.846	ISI	0	0	 0.000
 236.375	 2.026	P_LEFT	0	0	 0.000
 238.401	 2.315	ISI	0	0	 0.000
 240.716	 2.046	P_RIGHT	0	0	 0.000
 242.762	 2.381	ISI	0	0	 0.000
 245.143	 1.692	RESPONSE_P_RIGHT	1	0	 2147483.647
 246.835	 2.047	ISI	0	0	 0.000
 248.882	 2.048	V_LEFT	0	0	 0.000
 250.930	 2.294	ISI	0	0	 0.000
 253.224	 2.047	V_RIGHT	0	0	 0.000
 255.271	 2.046	ISI	0	0	 0.000
 257.317	 2.027	CONG_LEFT	0	0	 0.000
 259.344	 1.913	ISI	0	0	 0.000
 261.257	 2.046	P_LEFT	0	0	 0.000
 263.303	 2.227	ISI	0	0	 0.000
 265.530	 2.048	INCONG_VR_PL	0	0	 0.000
 267.578	 1.846	ISI	0	0	 0.000
 269.424	 2.027	P_RIGHT	0	0	 0.000
 271.451	 2.381	ISI	0	0	 0.000
 273.832	 1.712	RESPONSE_P_RIGHT	1	0	 2147483.647
 275.544	 1.960	ISI	0	0	 0.000
 277.504	 2.046	REST	0	0	 0.000
 279.550	 2.114	ISI	0	0	 0.000
 281.664	 2.026	REST	0	0	 0.000
 283.690	 2.115	ISI	0	0	 0.000
 285.805	 2.047	CONG_RIGHT	0	0	 0.000
 287.852	 1.759	ISI	0	0	 0.000
 289.611	 2.046	INCONG_VL_PR	0	0	 0.000
 291.657	 1.693	ISI	0	0	 0.000
 293.350	 1.712	RESPONSE_INCONG_VL_PR	1	0	 2147483.647
 295.062	 2.294	ISI	0	0	 0.000
 297.356	 2.047	V_LEFT	0	0	 0.000
 299.403	 1.846	ISI	0	0	 0.000
 301.249	 2.027	P_RIGHT	0	0	 0.000
 303.276	 2.314	ISI	0	0	 0.000
 305.590	 2.047	CONG_LEFT	0	0	 0.000
 307.637	 2.381	ISI	0	0	 0.000
